Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/EVENT_FILTER_DESCRIPTOR
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/PROVIDER_ENUMERATION_INFO
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/PROVIDER_FIELD_INFO
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/PROVIDER_FIELD_INFOARRAY
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/TRACE_ENABLE_INFO
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/TRACE_GUID_INFO
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/TRACE_PROVIDER_INFO
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/TRACE_PROVIDER_INSTANCE_INFO
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/TRACE_QUERY_INFO_CLASS
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingSchemaBase
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingSchemaNormal
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingSchemaWithFlowDetails
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingSchemaWithNumbers
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingSchemaWithSize
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingSchemaWithString
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TryBlock
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/<>c__DisplayClass10
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ULS/<>c__DisplayClass12
